cust_code,customer_name,doc_date,total_amount
151,สด,2019-03-05,2940.00
151,สด,2019-03-05,13600.00
นน-191,SJ บางกรวย,2019-03-05,1250.00
.......,ร้าน .................................................,2019-03-05,1900.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-05,1500.00
นน-270,ห้างหุ้นส่วนจำกัด นนทบุรี อิควิปเม้นท์ (สำนักงานใหญ่),2019-03-05,1650.00
นน-270,ห้างหุ้นส่วนจำกัด นนทบุรี อิควิปเม้นท์ (สำนักงานใหญ่),2019-03-05,450.00
นน-270,ห้างหุ้นส่วนจำกัด นนทบุรี อิควิปเม้นท์ (สำนักงานใหญ่),2019-03-05,1350.00
นน-83,อู่อ๋า (รัตนาธิเบศร์),2019-03-05,1500.00
นน-54,กรณ์แอร์,2019-03-05,7400.00
นน-54,กรณ์แอร์,2019-03-05,650.00
นน-07,โชคชัยออโต้แอร์,2019-03-05,480.00
นน-246,สมคิดออโต้แอร์ ,2019-03-05,1650.00
นน-199,ร้าน 999 (สวนผัก),2019-03-05,3500.00
นน-122,ร้าน ช่างโรจน์,2019-03-05,1600.00
151,สด,2019-03-05,2850.00
นน-71,บัญชาแอร์ (ปากเกร็ด),2019-03-05,12300.00
นน-193,P O (บางกรวย),2019-03-05,1350.00
นน-198,เทคนิค ออโต้แอร์ (ตรงข้ามโลตัสแคราย),2019-03-05,3150.00
กท-43,นิวสยามแอร์,2019-03-05,300.00
กท-43,นิวสยามแอร์,2019-03-05,3950.00
กท-153,สุขุม ชุตาภา,2021-01-25,19745.00
นน-177,AC. ออโต้แอร์,2019-03-05,1100.00
นน-69,เค ที เซอร์วิส,2019-03-05,1100.00
นน-43,เล็กเซอร์วิส,2019-03-05,450.00
นน-265,บจก.เอส.ที.พี. ซัพพลาย&เซอร์วิส (เฮียสุวิทย์),2019-06-17,3450.00
นน-246,สมคิดออโต้แอร์ ,2019-06-14,1000.00
นน-22,โชคเจริญมอเตอร์,2019-03-05,1160.00
นน-190,วินัยบางกรวย,2019-03-05,1850.00
กท-114,เป็นหนึ่งการช่าง,2019-03-05,1750.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-05,1200.00
นน-203,พี่จูน,2019-03-05,2600.00
นน-135,ต้นเชอร์วิส,2019-03-05,900.00
.......,ร้าน .................................................,2019-03-05,2000.00
นน-263,บริษัท วี.อาร์.พี แอดวานซ์ จำกัด,2019-02-26,12497.60
นน-263,บริษัท วี.อาร์.พี แอดวานซ์ จำกัด,2019-02-26,12497.60
นน-263,บริษัท วี.อาร์.พี แอดวานซ์ จำกัด,2019-03-05,2568.00
นน-246,สมคิดออโต้แอร์ ,2019-06-15,900.00
นน-66,ห้างหุ้นส่วนจำกัด พระนคร ออโต้แอร์ (สำนักงานใหญ่),2019-03-06,7800.00
กท-43,นิวสยามแอร์,2019-03-06,2786.80
นน-13,ธนกฤตแอร์,2019-03-06,5300.00
นน-67,ชัยฤทธิ์แอร์,2020-02-10,850.00
151,สด,2019-03-06,3160.00
นน-291,นครหลวง อิเลคทริค,2019-03-06,1200.00
นน-193,P O (บางกรวย),2019-03-06,1000.00
นน-67,ชัยฤทธิ์แอร์,2019-03-06,800.00
นน-43,เล็กเซอร์วิส,2019-03-06,200.00
นน-173,บงกชแอร์,2019-03-06,1100.00
นน-241,S.K.Cooling,2019-06-24,2200.00
กท-55,แสงชัยมอเตอร์,2019-03-06,3500.00
นน-122,ร้าน ช่างโรจน์,2019-03-06,2500.00
กท-14,บริษัท ไปรษณีย์ไทย จำกัด (สำนักงานใหญ่),2019-03-06,150.00
นน-101,อู่เอ็ม  ไทรม้า,2019-03-06,2650.00
กท-14,บริษัท ไปรษณีย์ไทย จำกัด (สำนักงานใหญ่),2019-03-06,3150.00
กท-14,บริษัท ไปรษณีย์ไทย จำกัด (สำนักงานใหญ่),2019-03-06,320.00
กท-43,นิวสยามแอร์,2019-03-06,14236.50
นน-68,ท.การช่าง,2019-03-06,850.00
นน-43,เล็กเซอร์วิส,2019-03-06,600.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-03-06,1100.00
นน-196,พีระพัชร,2021-01-25,4500.00
นน-242,พี่บิ๊ก ,2019-06-17,1100.00
กท-138,ช่างวิเชียร ประชาชื่นซอย 4,2019-06-24,2400.00
ปท-01,ศ.เครื่องเย็น,2019-03-06,2050.00
นน-301,บริษัท นรินทร์ คาร์ เซอร์วิส จำกัด,2019-03-06,550.00
151,สด,2019-03-06,1480.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-06,900.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-06,1000.00
นน-01,ต.เจริญ แอร์ แอนด์ ซาวด์,2019-03-06,1650.00
กท-133,บอย โฟลค์ (BOY VOLK),2019-03-06,1300.00
นน-256,R & W ออโต้คาร์,2019-03-06,1950.00
นน-157,พฤธาแอร์,2019-03-06,1300.00
กท-43,นิวสยามแอร์,2019-03-06,3137.64
นน-278,หนุ่มไดนาโม แอร์ (วัดกู้),2019-03-06,1500.00
นน-111,เอ็ม เค ออโต้แอร์,2019-03-06,500.00
นน-111,เอ็ม เค ออโต้แอร์,2019-03-06,9500.00
กท-140,ร้านประวิทย์ แอร์เซอร์วิส,2019-03-06,240.00
นน-242,พี่บิ๊ก ,2019-06-17,1800.00
นน-193,P O (บางกรวย),2019-06-24,550.00
นน-246,สมคิดออโต้แอร์ ,2019-06-18,910.00
นน-241,S.K.Cooling,2019-03-06,900.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-06,1700.00
กท-43,นิวสยามแอร์,2019-03-06,1000.00
นน-13,ธนกฤตแอร์,2019-03-06,2840.00
นน-13,ธนกฤตแอร์,2019-03-06,700.00
นน-68,ท.การช่าง,2019-03-06,2600.00
นน-63,ยาวไดนาโมแอร์,2019-03-06,150.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-03-06,2010.00
นน-67,ชัยฤทธิ์แอร์,2020-02-18,850.00
นน-65,กาญจนาอะไหล่แอร์,2019-06-24,1400.00
นน-278,หนุ่มไดนาโม แอร์ (วัดกู้),2019-06-29,900.00
นน-23,เอ็กซ์เปอร์ต ออโต็ เซลส์ แอนด์ เซอร์วิส,2019-07-05,2500.00
นน-235,ร้าน AP บางกรวย,2019-03-06,2350.00
นน-235,ร้าน AP บางกรวย,2019-03-06,900.00
กท-149,การไฟฟ้านครหลวง (สำนักงานใหญ่),2019-03-06,9600.00
นน-66,ห้างหุ้นส่วนจำกัด พระนคร ออโต้แอร์ (สำนักงานใหญ่),2019-03-06,14930.00
นน-177,AC. ออโต้แอร์,2019-03-06,300.00
นน-246,สมคิดออโต้แอร์ ,2019-03-06,2000.00
นน-67,ชัยฤทธิ์แอร์,2020-02-25,6500.00
นน-13,ธนกฤตแอร์,2019-06-18,850.00
151,สด,2019-03-06,5500.00
151,สด,2019-03-06,1800.00
ปท-12,ก.เจริญยนต์,2019-03-06,1200.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-06,1500.00
นน-179,เก่ง ออโต้แอร์  (แยก อตก.),2019-03-06,1650.00
กท-134,วิรัตน์ ประชาชื่น,2019-03-06,900.00
นน-117,มิตรสัมพันธ์,2019-03-06,1400.00
นน-199,ร้าน 999 (สวนผัก),2019-03-06,1750.00
นน-238,บริษัท จานทองอะไหล่แอร์ จำกัด,2019-03-05,1000.00
นน-278,หนุ่มไดนาโม แอร์ (วัดกู้),2020-02-08,1800.00
นน-07,โชคชัยออโต้แอร์,2019-07-03,6750.00
นน-232,ร้านวิรัตน์ (บางกร่าง),2019-03-06,2650.00
151,สด,2019-03-06,2500.00
151,สด,2019-03-06,1600.00
กท-43,นิวสยามแอร์,2019-03-07,2200.00
นน-13,ธนกฤตแอร์,2019-03-07,1350.00
นน-117,มิตรสัมพันธ์,2019-03-07,5950.00
นน-278,หนุ่มไดนาโม แอร์ (วัดกู้),2020-02-12,2100.00
ปท-01,ศ.เครื่องเย็น,2019-03-07,850.00
151,สด,2019-03-07,1100.00
นน-274,บจก. 19 ซิตี้คาร์ (สำนักงานใหญ่),2019-03-07,900.00
นน-122,ร้าน ช่างโรจน์,2019-03-07,1900.00
นน-157,พฤธาแอร์,2019-03-07,1400.00
กท-85,บริษัท คูลลิ่งซาวด์ (สำนักงานใหญ่),2021-01-25,2420.00
กท-43,นิวสยามแอร์,2019-06-17,1700.00
กท-43,นิวสยามแอร์,2019-06-18,5130.00
นน-294,ยอดนิสสัน & เซอร์วิส,2019-06-14,1350.00
นน-172,ซายางยนต์,2019-07-02,2500.00
นน-232,ร้านวิรัตน์ (บางกร่าง),2019-03-07,11000.00
กท-85,บริษัท คูลลิ่งซาวด์ (สำนักงานใหญ่),2019-03-07,3480.00
